local_row,local_col,injected_row_px,injected_col_px,measured_row_px,measured_col_px,error_px
479,255,0.0,0.0,-1.2342917719752743e-09,-6.351389442106778e-09,6.470210508451121e-09
479,367,0.0,0.0,-1.4094197503109e-09,-2.8666293643450847e-09,3.194374421556112e-09
479,479,0.0,0.0,-9.303705080798542e-10,3.2386992401355794e-09,3.3696827818593766e-09
32,32,0.005,0.0,0.00471556121811972,2.5486694948832048e-05,0.00028557834696795945
32,143,0.005,0.0,0.004856285628929462,-2.991526594663223e-05,0.00014679490314332502
32,255,0.005,0.0,0.004814156603377718,1.4898135132203986e-05,0.00018643959477140156
32,367,0.005,0.0,0.004782161154798359,-3.939652741420274e-06,0.0002178744669356818
32,479,0.005,0.0,0.00476673861707065,3.5676437547502965e-05,0.00023597389890026756
143,32,0.005,0.0,0.004779189173483932,-1.588977192398141e-05,0.00022138181036052937
143,143,0.005,0.0,0.004826095708213795,-2.1371702723185735e-05,0.00017521259195317517
143,255,0.005,0.0,0.004762213244005866,8.9138553298085e-05,0.00025394531499968513
143,367,0.005,0.0,0.004822022698155891,-4.7078713167005376e-05,0.0001840986833336138
143,479,0.005,0.0,0.004701277113281359,-9.066006116427487e-05,0.00031217720887314617
255,32,0.005,0.0,0.004805682712608148,7.265998099068777e-05,0.00020745766078141025
255,143,0.005,0.0,0.00477394022507263,-2.82827117079178e-05,0.0002278221534920749
255,255,0.005,0.0,0.004797076914134279,2.5938236581747375e-05,0.00020457412078324488
255,367,0.005,0.0,0.004760742399540348,-1.0702289721338329e-05,0.00023949684420256981
255,479,0.005,0.0,0.004874599886173362,-2.4617092806145884e-05,0.00012779354367870111
367,32,0.005,0.0,0.004787391372065151,-3.415053588416663e-05,0.00021533389833817393
367,143,0.005,0.0,0.004657914594876446,-1.6823335495056766e-05,0.0003424988306778952
367,255,0.005,0.0,0.0047522950515068475,-4.359000081526481e-05,0.00025151109255671045
367,367,0.005,0.0,0.00473181886263462,-5.102671609004969e-05,0.00027299239585293144
367,479,0.005,0.0,0.004793987042902486,-3.695474371511277e-05,0.00020930119821709558
479,32,0.005,0.0,0.004769614232964859,4.781427665255911e-05,0.00023529514806765056
479,143,0.005,0.0,0.004703049565281036,2.3609169217530197e-05,0.0002978874847168366
479,255,0.005,0.0,0.004170223265032731,4.9115375610700224e-05,0.0008312290598952385
479,367,0.005,0.0,0.004657613594837342,2.6977774913573077e-05,0.00034344759539046873
479,479,0.005,0.0,0.004752869301231849,3.789061236711729e-05,0.0002500185608693676
32,32,-0.005,0.0,-0.004715893692416637,-2.4738333358570304e-05,0.0002851813092508211
32,143,-0.005,0.0,-0.004856403410141545,3.0307890018989307e-05,0.00014676017449015394
32,255,-0.005,0.0,-0.004814059271446952,-1.542269689779614e-05,0.00018657924352521036
32,367,-0.005,0.0,-0.004782466896906719,3.6220340230476304e-06,0.00021756325533475585
32,479,-0.005,0.0,-0.004768093279684456,-3.576949065522276e-05,0.00023464906432638064
143,32,-0.005,0.0,-0.004778181189772132,1.6616744380127038e-05,0.0002224403307961515
143,143,-0.005,0.0,-0.004826830046831487,2.167600232344978e-05,0.00017452129313384976
143,255,-0.005,0.0,-0.004761650219997003,-8.901291836447825e-05,0.0002544286093646668
143,367,-0.005,0.0,-0.0048218666075848194,4.578343843207535e-05,0.00018392288799386655
143,479,-0.005,0.0,-0.004701854001439065,9.115379880752941e-05,0.00031176922794743647
255,32,-0.005,0.0,-0.0048049311879508165,-7.270545752409117e-05,0.00020817762845240392
255,143,-0.005,0.0,-0.004772978607383841,2.9157993419476047e-05,0.00022888621908195023
255,255,-0.005,0.0,-0.004797168055594755,-2.629267751902905e-05,0.00020452897731698623
255,367,-0.005,0.0,-0.0047605378250103175,1.046873186089942e-05,0.0002396909001142196
255,479,-0.005,0.0,-0.00487511535491875,2.4578154772944035e-05,0.00012728024304310787
